"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC-012: Fill in user information at the checkout","1450","TC-012: Fill in user information at the checkout","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-013: Cancel from the overview page","1553","TC-013: Cancel from the overview page","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-029: Long Value in Username Field","1286","TC-029: Long Value in Username Field","@Negative tests","2026-01-16","passed","2026-01-16","","","",""
"TC-025: Logo and header visibility","920","TC-025: Logo and header visibility","@UI/UX tests","2026-01-16","passed","2026-01-16","","","",""
"TC-023: Back from product detail to product list","1096","TC-023: Back from product detail to product list","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-020: Full purchase flow","1615","TC-020: Full purchase flow","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-027: Button state change on interaction","3167","TC-027: Button state change on interaction","@UI/UX tests","2026-01-16","passed","2026-01-16","","","",""
"TC-009: Navigate to the cart page","1008","TC-009: Navigate to the cart page","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-003: Check presence of product list after login","1057","TC-003: Check presence of product list after login","@Smoke tests","2026-01-16","passed","2026-01-16","","","",""
"TC-030: Login with Leading/Trailing Spaces in Username","945","TC-030: Login with Leading/Trailing Spaces in Username","@Negative tests","2026-01-16","passed","2026-01-16","","","",""
"TC-018: Remove one of 3 items from cart","1245","TC-018: Remove one of 3 items from cart","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-028: Entering SQL Injection in Username","929","TC-028: Entering SQL Injection in Username","@Negative tests","2026-01-16","passed","2026-01-16","","","",""
"TC-019: Cart state persists across navigation","1092","TC-019: Cart state persists across navigation","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-015: Sort products by name (Z to A)","1152","TC-015: Sort products by name (Z to A)","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-001: Successful login with valid credentials","950","TC-001: Successful login with valid credentials","@Smoke tests","2026-01-16","passed","2026-01-16","","","",""
"TC-014: Sort products by price(low to high) @Functional","7845","TC-014: Sort products by price(low to high) @Functional","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-011: Proceed to checkout","1146","TC-011: Proceed to checkout","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"","1036","TC-024: Use browser back button from product detail","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-017: Add multiple items to cart","1099","TC-017: Add multiple items to cart","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-007: Unsuccessful login with empty fields","757","TC-007: Unsuccessful login with empty fields","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-008: Unsuccessful login with non-existent user","906","TC-008: Unsuccessful login with non-existent user","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-022: Total price with tax is calculated correctly","1660","TC-022: Total price with tax is calculated correctly","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-002: Unsuccessful login with locked user","943","TC-002: Unsuccessful login with locked user","@Smoke tests","2026-01-16","passed","2026-01-16","","","",""
"TC-010: Remove item from the cart","3230","TC-010: Remove item from the cart","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-005: Add item to cart and check badge","961","TC-005: Add item to cart and check badge","@Smoke tests","2026-01-16","passed","2026-01-16","","","",""
"TC-006: Successful login as performance_glitch_user","5922","TC-006: Successful login as performance_glitch_user","@Sanity tests","2026-01-16","passed","2026-01-16","","","",""
"TC-004: Logout from application","1272","TC-004: Logout from application","@Smoke tests","2026-01-16","passed","2026-01-16","","","",""
"TC-026: Browser window resizing","1115","TC-026: Browser window resizing","@UI/UX tests","2026-01-16","passed","2026-01-16","","","",""
"TC-016: Product details view","1077","TC-016: Product details view","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
"TC-021:Checkout form validation","1294","TC-021:Checkout form validation","@Functional tests","2026-01-16","passed","2026-01-16","","","",""
